SMILES Name NAME_Match
Cn1cnc2ncnc(NCc3ccsc3S(C)(=O)=O)c21 Z5334112071 Adenine-Sulfone
Cn1cnc2ncnc(NCc3sccc3S(C)(=O)=O)c21 Z5334275420 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)CC3(C)CC3(Cl)Cl)c21 Z4216830690 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)CC3CC4(CC4)C3)c21 Z6225337046 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)CCC(C)(F)F)c21 Z4216830523 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)CCc3cccs3)c21 Z5370184726 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)Cc3ccccc3)c21 PV-002860944662 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)c3ccc(Br)cc3)c21 PV-005545073437 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)c3ccc(Cl)cc3)c21 PV-002951956057 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)c3ccc(F)cc3)c21 PV-003043009587 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)c3cccc(Br)c3)c21 PV-005335774662 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)c3cccc(Cl)c3)c21 PV-002952955718 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)c3cccc(F)c3)c21 PV-002842226138 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)c3ccccc3Br)c21 PV-005030865252 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)c3ccccc3Cl)c21 PV-002773597364 Adenine-Sulfone
Cn1cnc2ncnc(NS(=O)(=O)c3ccccc3F)c21 PV-002978094986 Adenine-Sulfone
Cn1cnc2ncnc(N[C@H]3CC[C@@H](S(C)(=O)=O)CC3)c21 Z5334201855 Adenine-Sulfone
Nc1ncnc2[nH]c(S(=O)(=O)CC3CC4(CCC4)C3)nc12 PV-003736504522 Adenine-Sulfone
Nc1ncnc2[nH]c(S(=O)(=O)CC3CCC(F)(F)C3)nc12 PV-003346866937 Adenine-Sulfone
Nc1ncnc2[nH]c(S(=O)(=O)CC3CCCC3(F)F)nc12 PV-003155431029 Adenine-Sulfone
